Year,Well,Sick,Dead,Dead_BG,Dead_Disease
0,1.0,0.0,0.0,0.0,0.0
1,0.9923838339574439,0.002,0.005616166042556103,0.005616166042556103,0.0
2,0.9895662203607661,0.004176352585421337,0.006257427053812553,0.006057515430055805,1.999116237567484E-4
3,0.9865799523982047,0.006463009442973101,0.006957038158822217,0.006339609495348368,6.17428663473849E-4
4,0.9833669353565148,0.008809414122242887,0.007823650521242361,0.006560064074048089,0.0012635864471942713
5,0.9799446631393771,0.011184520607946773,0.008870816252676127,0.006726435865696421,0.0021443803869797056
6,0.9762888376223375,0.013568768077480973,0.010142394300181446,0.00687973457739184,0.0032626597227896053
7,0.9724131121882595,0.015949869829089466,0.011637017982650903,0.00701767026881822,0.0046193477138326815
8,0.9683223317445917,0.018319809058605835,0.013357859196802305,0.007143727668551588,0.006214131528250714
9,0.9640228203759811,0.020673197775687914,0.015303981848330891,0.00725808149917734,0.00804590034915355
10,0.9595190089310661,0.02300621033328868,0.017474780735645137,0.007361778086151982,0.010113002649493155
11,0.9548098055168116,0.025315864618180427,0.019874329865007957,0.007460938135752171,0.012413391729255784
12,0.9498855629781618,0.02759950548160228,0.022514931540235907,0.007570235341482279,0.014944696198753622
13,0.9447271867811338,0.029854444610219803,0.02541836860864642,0.0077141275490246785,0.017704241059621737
14,0.9393110016992816,0.032077840555940026,0.02861115774477835,0.007922107979826716,0.020689049764951627
15,0.9336214398065558,0.03426695342471022,0.03211160676873397,0.008215739685463228,0.023895867083270742
16,0.9276545828463996,0.03641933667688581,0.03592608047671451,0.008604890295257236,0.027321190181457268
17,0.9214175112725052,0.03853295117675653,0.04004953755073812,0.009088230517294111,0.030961307033444
18,0.9149210750076892,0.04060602591194813,0.04447289908036257,0.009660580812664228,0.03481231826769833
19,0.9081819577380402,0.042637171891057334,0.049180870370902255,0.010310693636390039,0.03887017673451221
20,0.901214678050673,0.04462511287670844,0.05416020907261833,0.01102951444704396,0.04313069462557436
21,0.8940255850099196,0.046568371197385786,0.0594060437926944,0.011816520507915242,0.047589523284779146
22,0.8866186729677146,0.048465412062596566,0.06491591496968867,0.012673760576316789,0.05224215439337187
23,0.8790023340137006,0.05031494409742518,0.07068272188887394,0.013598773909893384,0.057083947978980545
24,0.8711834635754198,0.05211568677015664,0.07670084965442335,0.014590721432550085,0.06211012822187326
25,0.8631671551582037,0.05386632941559398,0.08296651542620198,0.015650734239667716,0.06731578118653427
26,0.8549593823033487,0.05556565481382726,0.08947496288282376,0.01677909662797508,0.0726958662548487
27,0.8465650815453785,0.05721244316617971,0.09622247528844152,0.017977261060969276,0.07824521422747227
28,0.837987858500547,0.05880543850587022,0.10320670299358244,0.01924817894681272,0.08395852404676975
29,0.8292335076941689,0.06034355163298354,0.11042294067284716,0.02059255890774149,0.08983038176510572
30,0.8203112640171446,0.06182597951049862,0.11786275647235635,0.022007468155871585,0.09585528831648481
31,0.811229700880066,0.06325198088171957,0.12551831823821402,0.023490656405116835,0.10202766183309722
32,0.8019992605913158,0.06462103787599187,0.13337970153269196,0.025037839318359928,0.10834186221433206
33,0.792633158276329,0.06593294988127177,0.14143389184239888,0.026641669333510247,0.11479222250888867
34,0.783143623419452,0.06718759379483541,0.1496687827857122,0.02829572920661407,0.12137305357909814
35,0.7735390617830606,0.06838468233630954,0.15807625588062946,0.02999762835662662,0.12807862752400287
36,0.7638247638967692,0.06952375478938105,0.1666514813138493,0.031748318008864844,0.13490316330498447
37,0.7540033923038535,0.07060416975902369,0.17539243793712245,0.033551627512158025,0.14184081042496444
38,0.7440765468770729,0.0716252008706964,0.18429825225223018,0.03541261008733141,0.1488856421648988
39,0.7340456015362805,0.0725861004523341,0.19336829801138483,0.03733664428023229,0.1560316537311526
40,0.7239132759148627,0.07348624281246877,0.20260048127266808,0.03932770650134407,0.16327277477132407
41,0.7136778989578794,0.07432462806569551,0.21199747297642452,0.04139464522625057,0.170602827750174
42,0.7033425017953623,0.07510065812397264,0.2215568400806644,0.043541264373126616,0.17801557570753782
43,0.6929181861528778,0.07581455145661038,0.23126726239051107,0.04576246089848661,0.1855048014920245
44,0.6824165822995045,0.07646673877719529,0.24111667892329944,0.04805235871043336,0.19306432021286613
45,0.6718411208198425,0.07705697347544484,0.2511019057047118,0.05041399661214065,0.20068790909257123
46,0.6611840325753348,0.07758386303095496,0.26123210439370936,0.05286290553193134,0.2083691988617781
47,0.6504305461384162,0.07804512065790417,0.27152433320367864,0.05542273942201137,0.21610159378166732
48,0.6395698704636801,0.07843865448645146,0.28199147504986743,0.05811317677244416,0.22387829827742337
49,0.6285967180724495,0.07876284185086145,0.29264044007668805,0.060948081765207864,0.23169235831148025
50,0.6175108709094954,0.0790165917350733,0.30347253735543034,0.06393582833165512,0.2395367090237753
51,0.6063173736408758,0.07919945392197691,0.3144831724371463,0.06707893726307944,0.24740423517406696
52,0.5950120087023476,0.079309993596126,0.32567799770152533,0.07039033016047001,0.2552876675410554
53,0.5835780341831598,0.07934520254095281,0.3370767632758864,0.07389732627237137,0.2631794370035151
54,0.5719892187075304,0.07930064269577317,0.34871013859669553,0.07763859406250487,0.2710715445341907
55,0.560223328724105,0.07917198525838913,0.36060468601750495,0.08164910707190538,0.27895557894559964
56,0.5482837082861893,0.07895787914635354,0.3727584125674561,0.08593541139959401,0.2868230011678622
57,0.5361762053212995,0.07865747387262073,0.38516632080607865,0.09050114875042475,0.294665172055654
58,0.5238869972869176,0.07826747870690123,0.3978455240061801,0.09537239922603102,0.3024731247801492
59,0.5114069981732857,0.07778501319716614,0.410807988629547,0.10057036919297575,0.31023761943657135
60,0.49874346469960895,0.07720932324129232,0.4240472120590976,0.10609787565756057,0.3179493364015371
61,0.48591060934498215,0.07654080561293089,0.4375485850420859,0.111949606741312,0.3255989783007739
62,0.47293481214795885,0.07578184046047605,0.45128334739156406,0.11810589235397116,0.33317745503759294
63,0.4598487520509475,0.07493614495722564,0.4652151029918257,0.12453909114522178,0.340676011846604
64,0.4466804640183431,0.07400723246505568,0.4793123035166001,0.13122607927139876,0.3480862242452014
65,0.4334429648047633,0.0729967131668392,0.49356032202839634,0.13816048080680257,0.3553998412215939
66,0.42013859272530535,0.07190462367985147,0.5079567835948421,0.14534813847902076,0.3626086451158214
67,0.40672112667748234,0.07072341062015816,0.5225554627023583,0.15285165880692486,0.3697038038954336
68,0.39323301101118713,0.06945844081605436,0.5373085481727573,0.1606316774573733,0.3766768707153842
69,0.3796534432173452,0.06810594044537549,0.5522406163372781,0.16872146810942748,0.3835191482278508
70,0.3659833938042747,0.06666516086007043,0.5673514453356536,0.17712959390750696,0.3902218514281469
71,0.35224724211969105,0.06513923466317473,0.5826135232171329,0.18583708818195693,0.39677643503517623
72,0.33842756435496635,0.0635248153490242,0.5980476202960081,0.19487345518706706,0.4031741651089414
73,0.3244817029776202,0.06181386103650971,0.6137044359858688,0.20429874795990766,0.40940568802596145
74,0.3103776890178249,0.05999934208003918,0.6296229689021345,0.21416194895759863,0.41546101994453627
75,0.29606090419964576,0.05806983539695846,0.6458692604033944,0.2245399945839525,0.42132926581944224
76,0.2816658531305553,0.05604643545159379,0.6622877114178496,0.2352870593427022,0.4270006520751477
77,0.2668386365859007,0.05386584064333523,0.6792955227707628,0.24683347991374516,0.43246204285701795
78,0.2519448809093649,0.051587815113623876,0.69646730397701,0.258765229159833,0.4377020748171772
79,0.2368115265092324,0.04918177025330711,0.7140067032374592,0.2712971304562807,0.44270957278117884
80,0.22167117102454467,0.04668834832659702,0.7316404806488571,0.28416592242933625,0.4474745582195211
81,0.2062349080847485,0.04405453704673399,0.7497105548685163,0.29772448565075105,0.4519860692177655
82,0.1907353735170144,0.04132040377629836,0.767944222706686,0.311711275858472,0.45623294684821425
83,0.17519834966718545,0.03849161018705467,0.7863100401457587,0.3261038988716217,0.46020614127413717
84,0.15967829526775812,0.035579295752833945,0.8047424089794067,0.3408449289965611,0.46389747998284586
85,0.14435176629728935,0.03261972915893605,0.8230285045437734,0.3557276810175699,0.46730082352620367
86,0.12916506017217727,0.02960572104459778,0.8412292187832238,0.37081724323788934,0.47041197554533465
87,0.11447794308078343,0.026612773192844073,0.8589092837263712,0.38568055581590455,0.473228727910467
88,0.10012827230610721,0.02361518648175553,0.8762565412121359,0.40050353191620874,0.47575300929592756
89,0.08630262550469345,0.020654994822308304,0.8930423796729969,0.415056089968871,0.47798628970412627
90,0.0731900885413071,0.01777903384252353,0.9090308776161681,0.42909688991304307,0.4799339877031253
91,0.06097193819228222,0.015035749577151791,0.9239923122305648,0.44238646743841037,0.4816058447921546
92,0.049809543029698006,0.012471823870767396,0.9377186330995334,0.45470262903524455,0.4830160040642891
93,0.039831920647142804,0.010128676019121964,0.950039403333734,0.465856619622431,0.48418278371130324
94,0.03112466001764154,0.008039118410434228,0.960836221571923,0.4757080818961425,0.4851281396757808
95,0.023722050412645433,0.0062245856284267875,0.9700533639589266,0.4841765281799275,0.4858768357789993
96,0.017603965183533608,0.004693374500352865,0.9777026603161123,0.49124728406971735,0.48645537624639523
97,0.012698443834156161,0.0034402488436230012,0.9838613073222195,0.496970513453057,0.4868907938691629
98,0.008889899755948972,0.0024475476858207426,0.988662552558229,0.5014531350667338,0.48720941749149554
99,0.006031802112202143,0.0016876607933839424,0.9922805370944126,0.5048447834455768,0.4874357536488362
100,0.003961778771235477,0.0011264619468810471,0.994911759281882,0.5073201556603668,0.48759160362151566
